year,exporter_iso3,exporter_name,importer_iso3,importer_name,trade_value_thousand_usd,quantity_metric_tons,quantity_missing
2017,NOR,Norway,SGP,Singapore,549790.906,1081230.724,0
2017,IND,India,OMN,Oman,546491.36,680646.601,0
2017,SWE,Sweden,DEU,Germany,544025.942,1136733.793,0
2017,NOR,Norway,NLD,Netherlands,542160.81,1303736.743,0
2017,OMN,Oman,ZAF,South Africa,539820.04,662331.771,0
2017,USA,USA,BEL,Belgium,539619.141,645289.374,0
2017,SAU,Saudi Arabia,MYS,Malaysia,538133.864,1095144.0,0
2017,CHE,Switzerland,ISR,Israel,534145.0,334709.52,0
2017,ESP,Spain,BRA,Brazil,534069.119,1051822.475,0
2017,IND,India,FRA,France,531443.449,1090446.841,0
2017,BEL,Belgium,CHE,Switzerland,531059.604,1014099.762,0
2017,CHN,China,BGD,Bangladesh,526524.728,1086146.075,0
2017,RUS,Russian Federation,ROU,Romania,525662.421,1151948.96,0
2017,JPN,Japan,USA,USA,523747.152,621220.733,0
2017,NLD,Netherlands,GIB,Gibraltar,518920.593,962948.634,0
2017,IND,India,TZA,United Rep. of Tanzania,517695.493,952780.536,0
2017,IND,India,KEN,Kenya,516662.74,1003930.0,0
2017,FRA,France,DEU,Germany,515824.255,819966.159,0
2017,FRA,France,CHE,Switzerland,510859.108,927867.529,0
2017,LTU,Lithuania,LVA,Latvia,509266.398,1008465.584,0
2017,ARG,Argentina,BOL,Bolivia (Plurinational State of),508192.741,749127.983,0
2017,NOR,Norway,BEL,Belgium,507978.437,1430289.718,0
2017,FIN,Finland,GBR,United Kingdom,507689.236,954033.579,0
2017,DZA,Algeria,CHN,China,495549.614,934122.687,0
2017,ITA,Italy,HRV,Croatia,495104.029,484917.246,0
2017,LTU,Lithuania,UKR,Ukraine,478949.247,861626.481,0
2017,GRC,Greece,CYP,Cyprus,472899.274,892509.484,0
2017,ARE,United Arab Emirates,CHN,China,472289.06,1102407.284,0
2017,SWE,Sweden,DNK,Denmark,470266.388,890366.498,0
2017,IND,India,GBR,United Kingdom,464515.878,1063192.289,0
2017,RUS,Russian Federation,UZB,Uzbekistan,463962.038,1008937.236,0
2017,IND,India,MUS,Mauritius,463955.929,1197490.665,0
2017,SVK,Slovakia,HUN,Hungary,458996.728,897655.82,0
2017,SGP,Singapore,IND,India,458680.286,752709.269,0
2017,GBR,United Kingdom,FRA,France,456100.248,951147.71,0
2017,OMN,Oman,PAK,Pakistan,454282.47,360624.159,0
2017,SGP,Singapore,JPN,Japan,453919.558,1029479.15,0
2017,ITA,Italy,MLT,Malta,450217.374,1240454.118,0
2017,SAU,Saudi Arabia,NLD,Netherlands,446509.781,880558.598,0
2017,BLR,Belarus,NLD,Netherlands,445202.185,1144891.165,0
2017,ARE,United Arab Emirates,LKA,Sri Lanka,445188.994,1045483.693,0
2017,USA,USA,ESP,Spain,443858.113,330271.393,0
2017,SAU,Saudi Arabia,BEL,Belgium,443831.941,886307.4,0
2017,GRC,Greece,SGP,Singapore,443774.555,1413376.287,0
2017,ITA,Italy,MAR,Morocco,436235.33,915632.869,0
2017,ITA,Italy,SAU,Saudi Arabia,436150.511,808589.907,0
2017,LTU,Lithuania,POL,Poland,433197.6,831989.197,0
2017,PER,Peru,BRA,Brazil,425922.793,949461.287,0
2017,FIN,Finland,BEL,Belgium,425438.309,924069.784,0
2017,ARE,United Arab Emirates,MOZ,Mozambique,423254.567,266706.337,0
2017,KOR,Rep. of Korea,NZL,New Zealand,421616.991,940608.751,0
2017,SAU,Saudi Arabia,ZAF,South Africa,421521.109,1022035.463,0
2017,GBR,United Kingdom,CAN,Canada,419921.637,1031556.77,0
